Timestamp,RequestID,Endpoint,LatencyMS
2026-06-04 02:44:37,6e31,Scene Analysis (FAST),544.2747999999966
2026-06-04 02:44:37,276b,Grounded Query Routing (Orchestrator),14799.395999999999
2026-06-04 02:44:37,dfb1,Health Check,415.9429999999986
2026-06-04 02:44:37,7830,Scene Analysis (FAST),503.7254999999945
2026-06-04 02:44:37,c5f2,Grounded Query Routing (Orchestrator),15673.465399999997
2026-06-04 02:44:37,d057,Caption Generation (BLIP),17879.739799999996
2026-06-04 02:44:38,76c3,Scene Analysis (MEDIUM),3065.6015999999972
2026-06-04 02:44:39,9e7c,Visual Question Answering (VQA),14926.003800000004
2026-06-04 02:44:39,b107,Grounded Query Routing (Orchestrator),14748.656900000004
2026-06-04 02:44:40,fde0,Caption Generation (BLIP),17181.500399999997
2026-06-04 02:44:40,4ae9,Grounded Query Routing (Orchestrator),15437.233099999996
2026-06-04 02:44:41,c70b,Caption Generation (BLIP),16974.932800000002
2026-06-04 02:44:42,73be,Visual Question Answering (VQA),15049.983499999997
2026-06-04 02:44:42,1663,Visual Question Answering (VQA),15501.715099999998
2026-06-04 02:44:42,ce78,Caption Generation (BLIP),15960.124800000003
2026-06-04 02:44:43,80b5,Visual Question Answering (VQA),15484.118600000002
2026-06-04 02:44:43,a9cb,Scene Analysis (MEDIUM),3145.092599999998
2026-06-04 02:44:43,52ef,Visual Question Answering (VQA),16131.681799999998
2026-06-04 02:44:44,3187,Scene Analysis (MEDIUM),3113.007400000001
2026-06-04 02:44:44,1efc,Grounded Query Routing (Orchestrator),15992.788200000003
2026-06-04 02:44:45,fdb9,Visual Question Answering (VQA),17080.3253
2026-06-04 02:44:46,28cc,Visual Question Answering (VQA),16660.0495
2026-06-04 02:44:46,1a58,Scene Analysis (FAST),424.1640999999987
2026-06-04 02:44:46,403f,Caption Generation (BLIP),18612.113899999997
2026-06-04 02:44:47,cddd,Grounded Query Routing (Orchestrator),18041.962100000004
2026-06-04 02:44:48,e46c,Caption Generation (BLIP),19605.7485
2026-06-04 02:44:49,84aa,Scene Analysis (FAST),353.1119000000018
2026-06-04 02:44:49,2018,Caption Generation (BLIP),20429.420800000004
2026-06-04 02:44:49,0034,Grounded Query Routing (Orchestrator),19186.6164
2026-06-04 02:44:50,27a9,Scene Analysis (FAST),1147.5785999999957
2026-06-04 02:44:50,bb50,Grounded Query Routing (Orchestrator),19921.131299999994
2026-06-04 02:44:50,1b0f,Caption Generation (BLIP),21110.1691
2026-06-04 02:44:50,f061,Scene Analysis (FAST),1155.2442999999996
2026-06-04 02:44:50,b518,Grounded Query Routing (Orchestrator),19022.400799999996
2026-06-04 02:44:50,c17a,Grounded Query Routing (Orchestrator),18946.667299999997
2026-06-04 02:44:52,4acc,Grounded Query Routing (Orchestrator),20275.8674
2026-06-04 02:44:52,4257,Scene Analysis (MEDIUM),3197.614999999999
2026-06-04 02:44:52,bb01,Scene Analysis (MEDIUM),3185.9655000000016
2026-06-04 02:44:52,4273,Grounded Query Routing (Orchestrator),20253.740499999996
2026-06-04 02:44:52,9d15,Grounded Query Routing (Orchestrator),19520.4511
2026-06-04 02:44:54,9034,Scene Analysis (FAST),876.1943000000017
2026-06-04 02:44:54,2132,Grounded Query Routing (Orchestrator),20928.680800000002
2026-06-04 02:44:55,a88a,Visual Question Answering (VQA),21232.9226
2026-06-04 02:44:55,3348,Grounded Query Routing (Orchestrator),21168.406200000005
2026-06-04 02:44:56,ccd6,Caption Generation (BLIP),23180.4191
2026-06-04 02:44:56,edcb,Scene Analysis (MEDIUM),3827.559899999997
2026-06-04 02:44:56,fadc,Scene Analysis (MEDIUM),3712.9373
2026-06-04 02:44:57,237b,Grounded Query Routing (Orchestrator),21317.146099999998
2026-06-04 02:44:58,cf6f,Scene Analysis (FAST),1144.3340000000007
2026-06-04 02:44:58,77c0,Grounded Query Routing (Orchestrator),22244.0153
2026-06-04 02:44:58,00af,Caption Generation (BLIP),23511.5542
2026-06-04 02:44:59,3b9e,Caption Generation (BLIP),23760.8088
